,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Lucknow,14.856,10.388,3.542,8.709,5.192,64.319,243.962,265.89,148.71,22.575,0,4.699
1,Pilibhit,11.798,19.878,7.601,5.777,14.538,88.328,225.298,230.1493,117.68,21.47,0,0
2,Basti,22.777,13.969,11.847,0.692,16.123,111.776,332.727,346.021,220.8751,36.125,10.191,0.35
3,Meerut,14.147,12.452,8.141,5.356,7.213,39.913,209.754,213.419,109.822,7.048,1.396,0.481
4,Saharanpur,12.579,13.916,14.714,5.749,13.318,63.826,214.119,213.6,97.889,8.659,1.551,12.779
5,Gorakhpur,16.849,6.276,2.962,0,13.152,85.164,270.725,259.369,152.357,17.7,0,2.92
6,Pratapgarh,9.543,1.26,9.156,0.525,0.211,49.697,217.751,240.19,141.366,18.969,1.339,6.842
7,Agra,7.312,1.708,2.877,0.693,2.137,32.107,210.89,240.181,104.678,0,0,0
8,Aligarh,4.532,3.412,4.738,5.738,4.344,29.903,230.69,249.32,112.18,4.844,2.378,4.444
9,Ghaziabad,12.407,15.542,1.193,10.471,4.658,38.473,188.377,197.93,106.38,3.49,0.716,7.052
10,Jaunpur,9.05,9.85,10.19,5.68,0.18,72.9,250.6,270.9,143.1,15.2,0.41,6.86
11,Kheri,23.95,11.29,3.32,7.66,21.49,128.08,270.74,289.05,154.96,28.78,3.65,0
12,Mahoba,20.8,2.21,5.85,7.45,0,76.65,328.08,370.57,174.12,8.64,7.2,10.98
13,Mathura,10.782,10.122,2.35,1.14,6.01,30.25,187.24,213.89,92.57,0,1.1,5.46
14,Moradabad,14.688,14.189,2.182,5.169,15.376,77.37,258.91,257.06,143.07,18.42,5.2,3.4
15,Sitapur,21.07,17.89,0,9.02,6.12,101.55,285.64,301.43,186.75,29.0,3.65,8.42
16,Allahabad,21.39,18.26,3.76,0,5.57,88.27,294.58,346.06,176.1,27.13,7.19,0
17,Bareilly,6.78,14.55,5.29,0.56,15.99,87.52,249.99,275.2,131.68,17.28,0,9.57
18,Etawah,9.04,6.64,1.77,2.99,2.08,45.12,230.37,234.34,130.14,5.23,5.05,6.33
